Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Бургеры;;;;;;Ккал;Белки;Жиры;Углеводы
4 сыра;850,541;30,678;47,868;47,231;219;388,3748858;14,00821918;21,85753425;21,56666667
Блю чиз;663,021;17,138;31,468;48,891;189;350,8047619;9,067724868;16,64973545;25,86825397
Гамбургер;524,006;13,176;17,141;50,247;159;329,563522;8,286792453;10,78050314;31,60188679
Дабл;829,457;24,647;23,128;72,812;233;355,9901288;10,57811159;9,926180258;31,24978541
Детский;531,94;12,659;18,422;49,833;144;369,4027778;8,790972222;12,79305556;34,60625
Крабсбургер;614,32;17,804;24,772;50,923;189;325,037037;9,42010582;13,10687831;26,94338624
Лотмит;746,505;25,832;32,141;53,001;190;392,8973684;13,59578947;16,91631579;27,89526316
Нудлзбургер;1258,13;35,872;39,753;150,702;310;405,8483871;11,5716129;12,82354839;48,61354839
Онион фри;695,315;20,295;16,648;76,254;194;358,4097938;10,46134021;8,581443299;39,30618557
Онион;698,006;18,491;23,491;61,517;201;347,2666667;9,199502488;11,68706468;30,60547264
С чипсами;594,115;18,54;19,493;57,279;169;351,5473373;10,9704142;11,53431953;33,89289941
USB;778,626;23,119;38,285;54,001;219;355,5369863;10,556621;17,48173516;24,65799087
Феймос стар;672,221;18,131;31,798;49,341;204;329,520098;8,887745098;15,5872549;24,18676471
Чизбургер;601,206;18,176;23,441;50,247;179;335,8692737;10,15418994;13,09553073;28,07094972
Чикен барбекю;433,585;21,297;3,841;53,171;172;252,0843023;12,38197674;2,233139535;30,91337209
Чикен лонг;525,376;23,616;15,233;48,303;182;288,6681319;12,97582418;8,36978022;26,54010989
Чикен;744,566;26,727;15,83;90,339;190;391,8768421;14,06684211;8,331578947;47,54684211
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
ВОК;;;;;;Ккал;Белки;Жиры;Углеводы
